beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.017012542798525893,0.5878016072274915,0.00275025928045937,2,59,73,-2.0318708466039626e-05,234,-4.4853661072935155e-08
0.017012542798525893,0.701703828670383,0.002431343830575405,2,70,65,-1.896113774205058e-05,237,-4.3891522551043015e-08
0.017012542798525893,0.837677640068292,0.0021481225577495333,2,84,57,-1.742210901813912e-05,243,-4.2082388932703193e-08
0.017012542798525893,1.0,0.0018986362744320142,2,100,51,-1.5933091134071946e-05,253,-3.924406683268952e-08
0.017012542798525893,1.1937766417144369,0.001680435206166501,2,119,45,-1.435664709794089e-05,266,-3.580211246369299e-08
0.017012542798525893,1.4251026703029992,0.001490788495905847,2,143,40,-1.268556930115223e-05,285,-3.132239333617835e-08
0.017012542798525893,1.7012542798525891,0.0013268551872765235,2,170,35,-1.1043933342572634e-05,307,-2.68056634528462e-08
0.017012542798525893,2.030917620904737,0.0011858150699755466,2,203,32,-9.445097004298276e-06,337,-2.181315705380664e-08
0.017012542798525893,2.424462017082328,0.001064962222627436,2,242,28,-7.800530513925944e-06,372,-1.710642656562707e-08
0.017012542798525893,2.8942661247167516,0.000961766538716152,2,289,26,-6.2676972132259775e-06,417,-1.2662014572173691e-08
0.017012542798525893,3.4551072945922217,0.0008739094456187969,2,346,23,-4.840455349682397e-06,471,-8.96380620311555e-09
0.017012542798525893,4.1246263829013525,0.0007992999373948569,2,412,21,-3.5853940408533658e-06,535,-5.995642208784893e-09
0.017012542798525893,4.923882631706742,0.0007360763763437708,2,492,20,-2.3978118952918873e-06,614,-3.5575844143796546e-09
0.017012542798525893,5.878016072274912,0.0006825985992901044,2,588,18,-1.1980278362666735e-06,708,-1.5722150082239809e-09
0.017012542798525893,7.01703828670383,0.0006374339026388058,2,702,17,-1.176951384682919e-07,821,-1.349714890691421e-10
0.017012542798525893,8.376776400682925,0.0005993395954297684,2,838,16,8.936466492327205e-07,956,
0.017012542798525893,10.0,0.0005672440576305141,2,1000,15,1.8286658671342898e-06,1117,
