VDD,Vin
0.1,0.05169252154295881
0.105,0.05314420555798821
0.11,0.05269930217201934
0.115,0.05358671319965115
0.12,0.05462546435450815
0.125,0.05578007446908831
0.13,0.05758136870774863
0.135,0.05907273226141328
0.14,0.0606889398160243
0.145,0.06241276279259707
0.15,0.0642591890742047
0.155,0.06540987515950025
0.16,0.0682566658970584
0.165,0.07038968670634146
0.17,0.07265390647793088
0.175,0.07380676448708488
0.18,0.07747791243218946
0.185,0.07840061425821404
0.19,0.08075972106497736
0.195,0.08323394869651374
0.2,0.0857262639663382
0.205,0.08828729088958195
