VDD,Ktt
0.05277,1.7136823369653816e-05
0.06,2.0677769114779746e-05
0.07,2.6085852954411316e-05
0.08,3.20814089939886e-05
0.09,3.8648988897863885e-05
0.1,4.577548448578983e-05
0.11,5.3450386000140114e-05
0.12,6.168028229049367e-05
0.13,7.048137275061095e-05
0.14,7.907395490226251e-05
0.15,8.895171386545748e-05
