"VDD","P0","N0","N1","N2"
0.05, 175.0, 31.0, 8.0, 47.0
0.06, 175.0, 31.0, 8.0, 47.0
0.07, 175.0, 31.0, 8.0, 47.0
0.08, 175.0, 31.0, 8.0, 47.0
0.09, 175.0, 31.0, 8.0, 47.0
0.1, 175.0, 31.0, 8.0, 47.0
0.11, 175.0, 31.0, 8.0, 47.0
0.12, 175.0, 31.0, 8.0, 47.0
0.13, 175.0, 31.0, 8.0, 47.0
0.14, 175.0, 31.0, 8.0, 47.0
0.15, 175.0, 31.0, 8.0, 47.0
0.16, 175.0, 31.0, 8.0, 47.0
0.17, 175.0, 31.0, 8.0, 47.0
0.18, 175.0, 31.0, 8.0, 47.0
0.19, 175.0, 31.0, 8.0, 47.0
0.20, 175.0, 31.0, 8.0, 47.0
