beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.01,4.923882631706742,0.0002969668960442267,2,985,12,-1.4346888385643837e-06,1199,-1.1842447572922242e-09
0.01,5.878016072274912,0.00026991039688144714,2,1176,11,-8.703276221091081e-07,1389,-6.214672689362686e-10
0.01,7.01703828670383,0.0002469382336783545,2,1403,10,-3.4990683015036643e-07,1615,-2.1527428949819515e-10
0.01,8.376776400682925,0.0002274750976121398,2,1675,9,1.2931763805733776e-07,1886,
0.01,10.0,0.00021101453450293625,2,2000,8,5.652057067626296e-07,2210,
0.011937766417144363,0.01,0.004556878125419067,2,2,179,-1.9778462585743662e-05,383,-3.475026808936619e-08
0.011937766417144363,0.011937766417144363,0.004521825668532898,2,2,178,-1.972434264611433e-05,382,-3.4779839621445775e-08
0.011937766417144363,0.014251026703029978,0.004480703787636074,2,3,176,-1.9615077338809335e-05,381,-3.477603953409215e-08
0.011937766417144363,0.017012542798525893,0.004432614651639838,2,3,175,-1.9560957399180045e-05,380,-3.4805974019893316e-08
0.011937766417144363,0.020309176209047358,0.004376586407771684,2,4,172,-1.9396852701570396e-05,378,-3.4831297050657945e-08
0.011937766417144363,0.024244620170823284,0.004311590322102256,2,5,170,-1.928617254475154e-05,377,-3.482515808008585e-08
0.011937766417144363,0.028942661247167517,0.004236568532769162,2,6,167,-1.9120700279244545e-05,375,-3.4848546109288735e-08
0.011937766417144363,0.0345510729459222,0.004150474635771812,2,7,163,-1.890045834485055e-05,372,-3.4902604418766714e-08
0.011937766417144363,0.04124626382901352,0.004052328758539895,2,8,160,-1.8733708299429784e-05,370,-3.492488497283703e-08
0.011937766417144363,0.04923882631706739,0.003941287562463298,2,10,155,-1.8452527086380004e-05,367,-3.493473511241954e-08
0.011937766417144363,0.05878016072274912,0.0038167276020325304,2,12,150,-1.8169076064833728e-05,364,-3.494053089391102e-08
0.011937766417144363,0.07017038286703829,0.003678337636872823,2,14,145,-1.788350410782011e-05,361,-3.494236832321241e-08
0.011937766417144363,0.0837677640068292,0.0035262120712383728,2,17,139,-1.753265136946721e-05,358,-3.488668292237188e-08
0.011937766417144363,0.1,0.0033609342556862255,2,20,132,-1.7123652060953384e-05,354,-3.48551784337921e-08
0.011937766417144363,0.1193776641714437,0.003183635860182169,2,24,125,-1.6699010945894853e-05,351,-3.4717278473793876e-08
0.011937766417144363,0.14251026703029984,0.0029960180622750025,2,29,118,-1.625505961845606e-05,349,-3.445912748761142e-08
0.011937766417144363,0.17012542798525893,0.002800322895279985,2,34,110,-1.574958445732862e-05,346,-3.4208480576300225e-08
0.011937766417144363,0.20309176209047358,0.0025992491453872267,2,41,102,-1.5204903377078486e-05,345,-3.3707775510061374e-08
0.011937766417144363,0.24244620170823283,0.0023958159833357084,2,48,94,-1.4650751252311448e-05,344,-3.316450392138593e-08
0.011937766417144363,0.28942661247167517,0.0021931872142325446,2,58,86,-1.403258326668377e-05,346,-3.22262154755736e-08
0.011937766417144363,0.345510729459222,0.001994477052877082,2,69,79,-1.343882841128492e-05,350,-3.1096881736590434e-08
0.011937766417144363,0.41246263829013524,0.001802562281034943,2,82,71,-1.2743206140363043e-05,355,-2.9715525931263505e-08
0.011937766417144363,0.49238826317067413,0.001619924266283798,2,98,64,-1.2036086512436695e-05,364,-2.7954493014763783e-08
0.011937766417144363,0.5878016072274915,0.0014485380602698994,2,118,57,-1.1248919896278176e-05,377,-2.5783716641327075e-08
0.011937766417144363,0.701703828670383,0.001289816586942601,2,140,51,-1.048658839377315e-05,393,-2.3510421472901868e-08
0.011937766417144363,0.837677640068292,0.0011446083966391712,2,168,45,-9.630948047719442e-06,415,-2.085523613624825e-08
0.011937766417144363,1.0,0.0010132398975660998,2,200,40,-8.794819910602952e-06,442,-1.8186145389997833e-08
0.011937766417144363,1.1937766417144369,0.0008955886644164406,2,239,35,-7.895652274110289e-06,476,-1.540915744361883e-08
0.011937766417144363,1.4251026703029992,0.0007911734748717104,2,285,31,-7.018220774095236e-06,518,-1.275483566097564e-08
0.011937766417144363,1.7012542798525891,0.0006992483788588813,2,340,28,-6.1664384359077285e-06,570,-1.029249304965237e-08
0.011937766417144363,2.030917620904737,0.000618891229697887,2,406,24,-5.244033707701646e-06,632,-7.98227244840119e-09
0.011937766417144363,2.424462017082328,0.0005490806320450597,2,485,22,-4.430410775484411e-06,709,-6.053466108493757e-09
0.011937766417144363,2.8942661247167516,0.0004887584323458352,2,579,19,-3.581430747852417e-06,800,-4.3688771687474595e-09
0.011937766417144363,3.4551072945922217,0.0004368773048440777,2,691,17,-2.8374197985727105e-06,910,-3.058619134370376e-09
0.011937766417144363,4.1246263829013525,0.00039243458166253264,2,825,15,-2.146353076891174e-06,1042,-2.02945638889105e-09
0.011937766417144363,4.923882631706742,0.0003544943374684974,2,985,14,-1.5429287298012072e-06,1201,-1.2693151549912858e-09
0.011937766417144363,5.878016072274912,0.0003222000481114154,2,1176,13,-9.785675133459706e-07,1391,-6.967273611952629e-10
0.011937766417144363,7.01703828670383,0.0002947800878762981,2,1403,12,-4.581467213872151e-07,1617,-2.8116130384368945e-10
0.011937766417144363,8.376776400682925,0.0002715480714780759,2,1675,11,2.107774707594087e-08,1888,
0.011937766417144363,10.0,0.0002518997014353861,2,2000,10,4.5696581578121685e-07,2212,
0.014251026703029978,0.01,0.00542838509856236,3,2,214,-2.6638851561169322e-05,419,-4.152199569980878e-08
0.014251026703029978,0.011937766417144363,0.00538672236929088,3,2,212,-2.6530611631986295e-05,417,-4.161795135845249e-08
0.014251026703029978,0.014251026703029978,0.0053378437836738455,3,3,210,-2.6420896676118174e-05,416,-4.164706285642839e-08
0.014251026703029978,0.017012542798525893,0.005280681200173894,3,3,208,-2.6312656746935174e-05,414,-4.174491805263227e-08
0.014251026703029978,0.020309176209047358,0.005214078120519118,3,4,205,-2.6147749895576027e-05,412,-4.1823016467651994e-08
0.014251026703029978,0.024244620170823284,0.005136809960306259,3,5,202,-2.5981822265439247e-05,410,-4.190075839478656e-08
0.014251026703029978,0.028942661247167517,0.00504761692405533,3,6,199,-2.581490005714192e-05,408,-4.197817753535501e-08
0.014251026703029978,0.0345510729459222,0.004945252133324889,3,7,195,-2.5592896327319825e-05,405,-4.2107430614214916e-08
0.014251026703029978,0.04124626382901352,0.00482854699243953,3,8,190,-2.531584296023179e-05,401,-4.2291752355883374e-08
0.014251026703029978,0.04923882631706739,0.004696494341736227,3,10,185,-2.5029669069168775e-05,398,-4.2394425930163906e-08
0.014251026703029978,0.05878016072274912,0.004548347562894339,3,12,179,-2.468601310499541e-05,394,-4.255035353177642e-08
0.014251026703029978,0.07017038286703829,0.004383730440214812,3,14,173,-2.4339214167160076e-05,390,-4.270636960829603e-08
0.014251026703029978,0.0837677640068292,0.004202748511958565,3,17,166,-2.3921807408142908e-05,386,-4.282150832046203e-08
0.014251026703029978,0.1,0.004006088542858619,3,20,158,-2.3444304720019906e-05,381,-4.299182997142945e-08
0.014251026703029978,0.1193776641714437,0.0037950897184340685,3,24,149,-2.288952945543646e-05,376,-4.310970592028865e-08
0.014251026703029978,0.14251026703029984,0.0035717695669561095,3,29,141,-2.2360297805563524e-05,373,-4.303036295428282e-08
0.014251026703029978,0.17012542798525893,0.0033387906610051763,3,34,131,-2.171180246610268e-05,368,-4.305846911411765e-08
0.014251026703029978,0.20309176209047358,0.0030993612985342313,3,41,122,-2.1059308698211636e-05,366,-4.272705059692346e-08
0.014251026703029978,0.24244620170823283,0.002857073809784055,3,48,113,-2.039270043609942e-05,364,-4.235068208194763e-08
0.014251026703029978,0.28942661247167517,0.00261569569196666,3,58,103,-1.957692348586465e-05,364,-4.1554006380252696e-08
0.014251026703029978,0.345510729459222,0.00237893837606547,3,69,94,-1.877101810942576e-05,366,-4.0475716123481456e-08
0.014251026703029978,0.41246263829013524,0.0021502332096903463,3,82,85,-1.7894016266980766e-05,370,-3.9035812100743385e-08
0.014251026703029978,0.49238826317067413,0.0019325426829708736,3,98,76,-1.691923647359538e-05,377,-3.71003343425914e-08
0.014251026703029978,0.5878016072274915,0.0017282275296801892,3,118,68,-1.5879204883674725e-05,389,-3.454103559487236e-08
0.014251026703029978,0.701703828670383,0.0015389793952303664,3,140,61,-1.4849261878036523e-05,404,-3.176720408616405e-08
0.014251026703029978,0.837677640068292,0.0013658173925028703,3,168,54,-1.367989275729448e-05,425,-2.843106816296966e-08
0.014251026703029978,1.0,0.001209137813903586,3,200,48,-1.2512478997737114e-05,451,-2.4978996641653587e-08
0.014251026703029978,1.1937766417144369,0.001068801078870365,3,239,42,-1.1250446402295443e-05,484,-2.132058520750349e-08
0.014251026703029978,1.4251026703029992,0.0009442388182651394,3,285,37,-9.993544150051772e-06,525,-1.773540170024095e-08
0.014251026703029978,1.7012542798525891,0.0008345659355286063,3,340,33,-8.74758171513302e-06,576,-1.4332779058744624e-08
0.014251026703029978,2.030917620904737,0.0007386861917575721,3,406,29,-7.476300802880343e-06,638,-1.1189386977490936e-08
0.014251026703029978,2.424462017082328,0.0006553840617694667,3,485,26,-6.259315259102467e-06,714,-8.44666314787659e-09
0.014251026703029978,2.8942661247167516,0.0005833993941132642,3,579,23,-5.069811486113224e-06,805,-6.1161649931395365e-09
0.014251026703029978,3.4551072945922217,0.0005214843117870863,3,691,21,-4.009990750629603e-06,915,-4.280336824462665e-09
0.014251026703029978,4.1246263829013525,0.00046844370306861697,3,825,18,-2.9749118010350426e-06,1046,-2.7940790076593306e-09
0.014251026703029978,4.923882631706742,0.00042316168854630387,3,985,17,-2.0981208151634033e-06,1205,-1.7160015827227101e-09
0.014251026703029978,5.878016072274912,0.00038461682533837735,3,1176,15,-1.2251740091753828e-06,1394,-8.691643084388358e-10
0.014251026703029978,7.01703828670383,0.00035188874855370385,3,1403,14,-4.7213559448289385e-07,1620,-2.888456798666882e-10
0.014251026703029978,8.376776400682925,0.0003241586442691381,3,1675,13,2.193182856760771e-07,1891,
0.014251026703029978,10.0,0.00030070553747143396,3,2000,12,8.459333507150688e-07,2215,
0.017012542798525893,0.01,0.006463955495813087,3,2,255,-2.8857770109420063e-05,460,-3.979284350444024e-08
0.017012542798525893,0.011937766417144363,0.00641447712577352,3,2,253,-2.874953018023711e-05,458,-3.9867886316059895e-08
0.017012542798525893,0.014251026703029978,0.006356426648987757,3,3,250,-2.8585695259777476e-05,456,-3.9924155390750666e-08
0.017012542798525893,0.017012542798525893,0.0062885341428698446,3,3,248,-2.8477455330594394e-05,454,-4.000092051156646e-08
0.017012542798525893,0.020309176209047358,0.006209424222071952,3,4,245,-2.831255632482022e-05,452,-4.0057380199236305e-08
0.017012542798525893,0.024244620170823284,0.006117639966949425,3,5,241,-2.809250862114732e-05,449,-4.015280518716386e-08
0.017012542798525893,0.028942661247167517,0.006011681807227752,3,6,237,-2.787146633541414e-05,446,-4.024876723575286e-08
0.017012542798525893,0.0345510729459222,0.00589006452054329,3,7,232,-2.7595342499473694e-05,442,-4.038658017134073e-08
0.017012542798525893,0.04124626382901352,0.005751394726930844,3,8,226,-2.7264168997750458e-05,437,-4.056926521896086e-08
0.017012542798525893,0.04923882631706739,0.005594469568323997,3,10,220,-2.6923874916817936e-05,433,-4.0682796791807096e-08
0.017012542798525893,0.05878016072274912,0.00541839444056741,3,12,213,-2.6526098725510036e-05,428,-4.08395410849705e-08
0.017012542798525893,0.07017038286703829,0.005222713660934995,3,14,206,-2.6125172174928497e-05,423,-4.09973827363764e-08
0.017012542798525893,0.0837677640068292,0.0050075431172061854,3,17,197,-2.5599525536652038e-05,417,-4.116473521684576e-08
0.017012542798525893,0.1,0.004773689051442628,3,20,188,-2.506790290889957e-05,411,-4.133071112065483e-08
0.017012542798525893,0.1193776641714437,0.004522733492143205,3,24,178,-2.4459007704686658e-05,405,-4.144751525907723e-08
0.017012542798525893,0.14251026703029984,0.0042570660836791395,3,29,168,-2.3821536175555107e-05,400,-4.144894239900318e-08
