VDD,Vin
0.1,0.031286186794106906
0.105,0.033276453958839464
0.11,0.03533773901463967
0.115,0.03744066931634964
0.12,0.03962033951002718
0.125,0.04184803131329866
0.13,0.04555545299688375
0.135,0.04644409191910613
0.14,0.050577695423126415
0.145,0.05116458613257144
0.15,0.05363207764234494
0.155,0.058615434753622686
0.16,0.058632333634344544
0.165,0.061159813283982165
0.17,0.06377743852522907
0.175,0.06639410177831442
0.18,0.06901111351847625
0.185,0.07171453187388968
0.19,0.0743695994267116
0.195,0.07711120201171388
0.2,0.07984561141604098
0.205,0.0826692591592409
