vdd,gm
60,2.859496250859004e-05
70,3.5900379421965247e-05
80,4.425062802024966e-05
90,5.380427607423744e-05
100,6.474218110258975e-05
110,7.7272078027535e-05
120,9.163178321219779e-05
130,0.00010809261535536083
140,0.0001269631087804631
150,0.0001485927911060873
160,0.00017337626994901975
170,0.00020175735424152576
180,0.00023423336412498746
190,0.0002713594299273882
200,0.00031375292151631626
