Model,Lmin (µm),Lmax (µm),Wmin (µm),Wmax (µm)
['model.0'],4.95e-07,5.05e-07,9.995e-06,1.0005e-5
['model.1'],4.95e-07,5.05e-07,9.95e-07,1.005e-6
['model.2'],5.95e-07,6.05e-07,9.95e-07,1.005e-6
['model.3'],4.95e-07,5.05e-07,3.995e-06,4.005e-6
['model.4'],4.95e-07,5.05e-07,4.15e-07,4.25e-7
['model.5'],5.95e-07,6.05e-07,4.15e-07,4.25e-7
['model.6'],7.95e-07,8.05e-07,4.15e-07,4.25e-7
['model.7'],4.95e-07,5.05e-07,6.95e-07,7.05e-7
['model.8'],5.95e-07,6.05e-07,6.95e-07,7.05e-7
