beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.01,3.4551072945922217,0.00018704990840312895,1,346,2,-6.06960638989744e-07,449,-1.3149060636692894e-09
0.01,4.1246263829013525,0.00015788136807176977,1,412,1,-4.22501093095826e-07,514,-8.120336211720662e-10
0.01,4.923882631706742,0.00013310322040682398,1,492,1,-2.9295526872394306e-07,594,-4.88014773819662e-10
0.01,5.878016072274912,0.00011210078382582165,1,588,1,-1.6768676401885162e-07,690,-2.4082545457252857e-10
0.01,7.01703828670383,9.433180946341416e-05,1,702,1,-4.9673385430370675e-08,804,-6.13024625822173e-11
0.01,8.376776400682925,7.932213760937578e-05,1,838,1,6.044618214078145e-08,940,
0.01,10.0,6.666013745859734e-05,1,1000,1,1.6159349347451985e-07,1102,
0.011937766417144363,0.01,0.004517148427122064,1,1,37,-4.619676166786164e-06,139,-1.2415146914233174e-08
0.011937766417144363,0.014251026703029978,0.004412441025320784,1,1,36,-4.565556202065696e-06,138,-1.2515230817066052e-08
0.011937766417144363,0.017012542798525893,0.004346984216105034,1,2,36,-4.563853821844352e-06,139,-1.247636364637603e-08
0.011937766417144363,0.020309176209047358,0.004271342154639449,1,2,35,-4.509733857103168e-06,138,-1.2579452878948866e-08
0.011937766417144363,0.024244620170823284,0.004184419381225889,1,2,34,-4.455613892361978e-06,137,-1.268682771173684e-08
0.011937766417144363,0.028942661247167517,0.004085175663271176,1,3,33,-4.3988962948362416e-06,137,-1.2754120889638277e-08
0.011937766417144363,0.04124626382901352,0.003846271746215484,1,4,31,-4.287239996576791e-06,136,-1.2940658003552043e-08
0.011937766417144363,0.04923882631706739,0.003705500749454097,1,5,30,-4.228954714576162e-06,136,-1.3012168352542038e-08
0.011937766417144363,0.05878016072274912,0.0035503795749328767,1,6,29,-4.169984225812039e-06,136,-1.3084355901512517e-08
0.011937766417144363,0.07017038286703829,0.003381396445854751,1,7,28,-4.110386816303922e-06,136,-1.3157448195595143e-08
0.011937766417144363,0.0837677640068292,0.003199599232411084,1,8,26,-3.996095876489343e-06,135,-1.3373814847688567e-08
0.011937766417144363,0.1,0.003006627442851382,1,10,25,-3.928344717031019e-06,136,-1.3384479444739417e-08
0.011937766417144363,0.1193776641714437,0.002804694627629059,1,12,23,-3.804715645606132e-06,136,-1.3544733519423754e-08
0.011937766417144363,0.14251026703029984,0.0025965136827819785,1,14,21,-3.679619738360392e-06,136,-1.3714572263736088e-08
0.011937766417144363,0.17012542798525893,0.0023851661837475725,1,17,20,-3.597994647527323e-06,138,-1.3628767604270164e-08
0.011937766417144363,0.20309176209047358,0.0021739269777356143,1,20,18,-3.460177737904144e-06,139,-1.3709103557464913e-08
0.011937766417144363,0.24244620170823283,0.0019660642309252707,1,24,16,-3.3101911838700527e-06,141,-1.3689789842307909e-08
0.011937766417144363,0.28942661247167517,0.0017646403362895542,1,29,14,-3.147374344358178e-06,144,-1.3554583739699302e-08
0.011937766417144363,0.345510729459222,0.001572338901963493,1,35,13,-3.0259825658075338e-06,149,-1.3105164858412881e-08
0.011937766417144363,0.41246263829013524,0.001391337518376489,1,41,11,-2.849980374017994e-06,153,-1.28204245344939e-08
0.011937766417144363,0.49238826317067413,0.0012232368746901662,1,49,10,-2.706425993389823e-06,160,-1.213643943224136e-08
0.011937766417144363,0.5878016072274915,0.001069046720544011,1,59,9,-2.543835871646661e-06,169,-1.127087227136314e-08
0.011937766417144363,0.701703828670383,0.0009292206907199563,1,70,8,-2.3760903899944978e-06,179,-1.035784825629685e-08
0.011937766417144363,0.837677640068292,0.0008037267290544174,1,84,7,-2.1868661227256043e-06,192,-9.262457105995783e-09
0.011937766417144363,1.0,0.0006921381333303215,1,100,6,-1.991266035428976e-06,207,-8.134256680673922e-09
0.011937766417144363,1.1937766417144369,0.0005937314622473138,1,119,5,-1.78567135245819e-06,225,-6.961681685996842e-09
0.011937766417144363,1.4251026703029992,0.0005075805615799896,1,143,4,-1.5626359645731142e-06,248,-5.7197509684228195e-09
0.011937766417144363,1.7012542798525891,0.00043263962308171075,1,170,4,-1.3976581411744764e-06,275,-4.6557566328263704e-09
0.011937766417144363,2.424462017082328,0.0003120011512732018,1,242,3,-9.995018138034974e-07,346,-2.739111575235674e-09
0.011937766417144363,4.1246263829013525,0.00018846087222286836,1,412,2,-4.766217490376707e-07,515,-9.033770830888375e-10
0.014251026703029978,0.01,0.005380852443115339,1,1,44,-4.998515919829437e-06,146,-1.181123799581625e-08
0.014251026703029978,0.014251026703029978,0.00525638681607076,1,1,43,-4.9443959551089745e-06,145,-1.1888424994250961e-08
0.014251026703029978,0.017012542798525893,0.005178572032119242,1,2,42,-4.888573610291472e-06,145,-1.1934994165750667e-08
0.014251026703029978,0.024244620170823284,0.00498529461535649,1,2,41,-4.834453645550289e-06,144,-1.2017036155978843e-08
0.014251026703029978,0.028942661247167517,0.004867286533737367,1,3,40,-4.7777360480245524e-06,144,-1.2064990020264022e-08
0.014251026703029978,0.0345510729459222,0.004733525768663259,1,3,39,-4.723616083283365e-06,143,-1.2152343924063198e-08
0.014251026703029978,0.04124626382901352,0.00458316638682008,1,4,38,-4.666079749765099e-06,143,-1.2202091395829235e-08
0.014251026703029978,0.04923882631706739,0.004415722002545785,1,5,36,-4.553674503023281e-06,142,-1.234727359821931e-08
0.014251026703029978,0.05878016072274912,0.0042311823160277985,1,6,35,-4.494704014259159e-06,142,-1.2399183487611473e-08
0.014251026703029978,0.07017038286703829,0.004030120693032158,1,7,33,-4.380986640009856e-06,141,-1.2556568185754819e-08
