VDD,Vin
0.05,0.03327995134320973
0.055,0.033006595422516424
0.06,0.03315671140881633
0.065,0.03308055796101345
0.07,0.03330252445242428
0.075,0.033679798808738295
0.08,0.034454379784194474
0.085,0.03483489033475477
0.09,0.035611729128222566
0.095,0.036540700170370054
0.1,0.037615850088836646
0.105,0.03879022628953083
0.11,0.04011800622767665
0.115,0.04154484450144899
0.12,0.04305280865709751
0.125,0.04472327324786911
0.13,0.046481133956698936
0.135,0.04830113510769864
0.14,0.05123739546569212
0.145,0.05335507924655195
0.15,0.05426079586905082
0.155,0.05637635183988869
0.16,0.05859389483525107
0.165,0.06083184271669957
0.17,0.06310031881780917
0.175,0.06547884603343683
0.18,0.07200039960296437
0.185,0.07023281493273004
0.19,0.072700955472779
0.195,0.07515264152493362
0.2,0.07768128486618175
